# MC Backscattering Correction Delta_{2,0} for Analysis Choice D
#
#E_lo	E_hi	correction	uncertainty
0	10	0.904006	0.226001
10	20	0.763667	0.190917
20	30	0.623328	0.155832
30	40	0.482989	0.120747
40	50	0.34265	0.0856626
50	60	0.202311	0.0505778
60	70	0.0619725	0.0154931
70	80	-0.0783664	0.0195916
80	90	-0.0550277	0.0137569
90	100	-0.0316891	0.00792227
100	110	-0.00835044	0.00208761
110	120	0.0149882	0.00374705
120	130	0.0383269	0.00958171
130	140	0.0362573	0.00906433
140	150	0.0341878	0.00854695
150	160	0.0321183	0.00802957
160	170	0.0300488	0.00751219
170	180	0.0279793	0.00699481
180	190	0.0264938	0.00662345
190	200	0.0250083	0.00625208
200	210	0.0235229	0.00588071
210	220	0.0220374	0.00550935
220	230	0.0205519	0.00513798
230	240	0.0194371	0.00485929
240	250	0.0183224	0.00458059
250	260	0.0172076	0.0043019
260	270	0.0160928	0.00402321
270	280	0.0149781	0.00374451
280	290	0.0147677	0.00369192
290	300	0.0145573	0.00363932
300	310	0.0143469	0.00358673
310	320	0.0141365	0.00353413
320	330	0.0139261	0.00348154
330	340	0.0134043	0.00335108
340	350	0.0128825	0.00322062
350	360	0.0123607	0.00309017
360	370	0.0118388	0.00295971
370	380	0.011317	0.00282925
380	390	0.0104853	0.00262133
390	400	0.00965366	0.00241342
400	410	0.00882199	0.0022055
410	420	0.00799031	0.00199758
420	430	0.00715864	0.00178966
430	440	0.00680346	0.00170087
440	450	0.00644829	0.00161207
450	460	0.00609312	0.00152328
460	470	0.00573795	0.00143449
470	480	0.00538278	0.00134569
480	490	0.00563936	0.00140984
490	500	0.00589595	0.00147399
500	510	0.00615253	0.00153813
510	520	0.00640912	0.00160228
520	530	0.00666571	0.00166643
530	540	0.00674627	0.00168657
540	550	0.00682683	0.00170671
550	560	0.00690739	0.00172685
560	570	0.00698795	0.00174699
570	580	0.00706851	0.00176713
580	590	0.00654023	0.00163506
590	600	0.00601194	0.00150298
600	610	0.00548365	0.00137091
610	620	0.00495536	0.00123884
620	630	0.00442708	0.00110677
630	640	0.00399797	0.000999492
640	650	0.00356886	0.000892216
650	660	0.00313976	0.00078494
660	670	0.00271065	0.000677663
670	680	0.00228155	0.000570387
680	690	0.000625765	0.000156441
690	700	-0.00103002	0.000257504
700	710	-0.0026858	0.000671449
710	720	-0.00434158	0.00108539
720	730	-0.00599736	0.00149934
730	740	-0.00437591	0.00109398
740	750	-0.00275446	0.000688615
750	760	-0.00113301	0.000283253
760	770	0.000488436	0.000122109
770	780	0.00210989	0.000527471
780	790	-0.0482686	0.0120672
790	800	-0.0986472	0.0246618
