# MC Backscattering Correction Delta_{2,1} for Analysis Choice B
#
#E_lo	E_hi	correction	uncertainty
0	10	0.000411773	0.000102943
10	20	0.000205886	5.14716e-05
20	30	0	0
30	40	-0.000205886	5.14716e-05
40	50	-0.000411773	0.000102943
50	60	-0.000617659	0.000154415
60	70	-0.000823545	0.000205886
70	80	-0.00102943	0.000257358
80	90	-0.000731993	0.000182998
90	100	-0.000434554	0.000108638
100	110	-0.000137115	3.42786e-05
110	120	0.000160325	4.00811e-05
120	130	0.000457764	0.000114441
130	140	0.000366426	9.16064e-05
140	150	0.000275087	6.87718e-05
150	160	0.000183749	4.59373e-05
160	170	9.2411e-05	2.31028e-05
170	180	1.07288e-06	2.68221e-07
180	190	3.66211e-05	9.15527e-06
190	200	7.21693e-05	1.80423e-05
200	210	0.000107718	2.69294e-05
210	220	0.000143266	3.58164e-05
220	230	0.000178814	4.47035e-05
230	240	0.000211048	5.2762e-05
240	250	0.000243282	6.08206e-05
250	260	0.000275517	6.88791e-05
260	270	0.000307751	7.69377e-05
270	280	0.000339985	8.49962e-05
280	290	0.000447249	0.000111812
290	300	0.000554514	0.000138628
300	310	0.000661778	0.000165445
310	320	0.000769043	0.000192261
320	330	0.000876307	0.000219077
330	340	0.000576258	0.000144064
340	350	0.000276208	6.9052e-05
350	360	-2.38419e-05	5.96046e-06
360	370	-0.000323892	8.09729e-05
370	380	-0.000623941	0.000155985
380	390	-0.000404859	0.000101215
390	400	-0.000185776	4.64439e-05
400	410	3.33071e-05	8.32677e-06
410	420	0.00025239	6.30975e-05
420	430	0.000471473	0.000117868
430	440	0.000415325	0.000103831
440	450	0.000359178	8.97944e-05
450	460	0.00030303	7.57575e-05
460	470	0.000246882	6.17206e-05
470	480	0.000190735	4.76837e-05
480	490	0.000268388	6.70969e-05
490	500	0.000346041	8.65102e-05
500	510	0.000423694	0.000105923
510	520	0.000501347	0.000125337
520	530	0.000579	0.00014475
530	540	0.000517941	0.000129485
540	550	0.000456882	0.00011422
550	560	0.000395823	9.89556e-05
560	570	0.000334764	8.36909e-05
570	580	0.000273705	6.84261e-05
580	590	0.000508833	0.000127208
590	600	0.000743961	0.00018599
600	610	0.00097909	0.000244772
610	620	0.00121422	0.000303555
620	630	0.00144935	0.000362337
630	640	0.00150197	0.000375491
640	650	0.00155458	0.000388646
650	660	0.0016072	0.000401801
660	670	0.00165982	0.000414956
670	680	0.00171244	0.00042811
680	690	0.00132059	0.000330147
690	700	0.000928736	0.000232184
700	710	0.000536883	0.000134221
710	720	0.00014503	3.62575e-05
720	730	-0.000246823	6.17057e-05
730	740	0.000440145	0.000110036
740	750	0.00112711	0.000281778
750	760	0.00181408	0.00045352
760	770	0.00250105	0.000625262
770	780	0.00318801	0.000797004
780	790	0.0587561	0.014689
790	800	0.114324	0.0285811
