# MC Backscattering Correction Delta_{2,1} for Analysis Choice C
#
#E_lo	E_hi	correction	uncertainty
0	10	0.000406265	0.000101566
10	20	0.000203133	5.07832e-05
20	30	0	0
30	40	-0.000203133	5.07832e-05
40	50	-0.000406265	0.000101566
50	60	-0.000609398	0.000152349
60	70	-0.000812531	0.000203133
70	80	-0.00101566	0.000253916
80	90	-0.000722432	0.000180608
90	100	-0.000429201	0.0001073
100	110	-0.00013597	3.39925e-05
110	120	0.000157261	3.93152e-05
120	130	0.000450492	0.000112623
130	140	0.000360537	9.01341e-05
140	150	0.000270581	6.76453e-05
150	160	0.000180626	4.51565e-05
160	170	9.06706e-05	2.26676e-05
170	180	7.15256e-07	1.78814e-07
180	190	3.55721e-05	8.89301e-06
190	200	7.04288e-05	1.76072e-05
200	210	0.000105286	2.63214e-05
210	220	0.000140142	3.50356e-05
220	230	0.000174999	4.37498e-05
230	240	0.000206566	5.16415e-05
240	250	0.000238132	5.95331e-05
250	260	0.000269699	6.74248e-05
260	270	0.000301266	7.53164e-05
270	280	0.000332832	8.32081e-05
280	290	0.000438976	0.000109744
290	300	0.00054512	0.00013628
300	310	0.000651264	0.000162816
310	320	0.000757408	0.000189352
320	330	0.000863552	0.000215888
330	340	0.000567579	0.000141895
340	350	0.000271606	6.79016e-05
350	360	-2.43664e-05	6.09159e-06
360	370	-0.000320339	8.00848e-05
370	380	-0.000616312	0.000154078
380	390	-0.000399804	9.9951e-05
390	400	-0.000183296	4.58241e-05
400	410	3.32117e-05	8.30293e-06
410	420	0.00024972	6.24299e-05
420	430	0.000466228	0.000116557
430	440	0.000410557	0.000102639
440	450	0.000354886	8.87215e-05
450	460	0.000299215	7.48038e-05
460	470	0.000243545	6.08861e-05
470	480	0.000187874	4.69685e-05
480	490	0.000265455	6.63638e-05
490	500	0.000343037	8.57592e-05
500	510	0.000420618	0.000105155
510	520	0.000498199	0.00012455
520	530	0.000575781	0.000143945
530	540	0.000515079	0.00012877
540	550	0.000454378	0.000113595
550	560	0.000393677	9.84192e-05
560	570	0.000332975	8.32438e-05
570	580	0.000272274	6.80685e-05
580	590	0.000506854	0.000126714
590	600	0.000741434	0.000185359
600	610	0.000976014	0.000244004
610	620	0.00121059	0.000302649
620	630	0.00144517	0.000361294
630	640	0.00149448	0.00037362
640	650	0.00154378	0.000385946
650	660	0.00159309	0.000398272
660	670	0.00164239	0.000410599
670	680	0.0016917	0.000422925
680	690	0.00130436	0.000326091
690	700	0.000917029	0.000229257
700	710	0.000529695	0.000132424
710	720	0.00014236	3.55899e-05
720	730	-0.000244975	6.12438e-05
730	740	0.000441885	0.000110471
740	750	0.00112875	0.000282186
750	760	0.00181561	0.000453901
760	770	0.00250247	0.000625616
770	780	0.00318933	0.000797331
780	790	0.0617524	0.0154381
790	800	0.120315	0.0300789
