# MC Backscattering Correction Delta_{2,1} for Analysis Choice E
#
#E_lo	E_hi	correction	uncertainty
0	10	0.000408649	0.000102162
10	20	0.000204325	5.10812e-05
20	30	0	0
30	40	-0.000204325	5.10812e-05
40	50	-0.000408649	0.000102162
50	60	-0.000612974	0.000153244
60	70	-0.000817299	0.000204325
70	80	-0.00102162	0.000255406
80	90	-0.000726628	0.000181657
90	100	-0.000431633	0.000107908
100	110	-0.000136638	3.41594e-05
110	120	0.000158358	3.95894e-05
120	130	0.000453353	0.000113338
130	140	0.000362778	9.06944e-05
140	150	0.000272202	6.80506e-05
150	160	0.000181627	4.54068e-05
160	170	9.10521e-05	2.2763e-05
170	180	4.76837e-07	1.19209e-07
180	190	3.55721e-05	8.89301e-06
190	200	7.06673e-05	1.76668e-05
200	210	0.000105762	2.64406e-05
210	220	0.000140858	3.52144e-05
220	230	0.000175953	4.39882e-05
230	240	0.000207639	5.19097e-05
240	250	0.000239325	5.98311e-05
250	260	0.00027101	6.77526e-05
260	270	0.000302696	7.56741e-05
270	280	0.000334382	8.35955e-05
280	290	0.000441098	0.000110275
290	300	0.000547814	0.000136954
300	310	0.000654531	0.000163633
310	320	0.000761247	0.000190312
320	330	0.000867963	0.000216991
330	340	0.000570691	0.000142673
340	350	0.000273418	6.83546e-05
350	360	-2.38538e-05	5.96344e-06
360	370	-0.000321126	8.02815e-05
370	380	-0.000618398	0.0001546
380	390	-0.000401235	0.000100309
390	400	-0.000184071	4.60178e-05
400	410	3.30925e-05	8.27312e-06
410	420	0.000250256	6.2564e-05
420	430	0.00046742	0.000116855
430	440	0.000411654	0.000102913
440	450	0.000355887	8.89719e-05
450	460	0.000300121	7.50303e-05
460	470	0.000244355	6.10888e-05
470	480	0.000188589	4.71473e-05
480	490	0.000266099	6.65247e-05
490	500	0.000343609	8.59022e-05
500	510	0.000421119	0.00010528
510	520	0.000498629	0.000124657
520	530	0.000576138	0.000144035
530	540	0.000515556	0.000128889
540	550	0.000454974	0.000113744
550	560	0.000394392	9.8598e-05
560	570	0.00033381	8.34525e-05
570	580	0.000273228	6.83069e-05
580	590	0.00050745	0.000126863
590	600	0.000741673	0.000185418
600	610	0.000975895	0.000243974
610	620	0.00121012	0.000302529
620	630	0.00144434	0.000361085
630	640	0.00149477	0.000373691
640	650	0.00154519	0.000386298
650	660	0.00159562	0.000398904
660	670	0.00164604	0.00041151
670	680	0.00169647	0.000424117
680	690	0.00130816	0.000327039
690	700	0.000919843	0.000229961
700	710	0.00053153	0.000132883
710	720	0.000143218	3.58045e-05
720	730	-0.000245094	6.12736e-05
730	740	0.000452065	0.000113016
740	750	0.00114923	0.000287306
750	760	0.00184639	0.000461596
760	770	0.00254354	0.000635886
770	780	0.0032407	0.000810176
780	790	0.0684143	0.0171036
790	800	0.133588	0.033397
