# MC Backscattering Correction Delta_{2,2}
#
#E_lo	E_hi	correction	uncertainty
0	10	0.686132	0.228711
10	20	0.593066	0.197689
20	30	0.5	0.166667
30	40	0.406934	0.135645
40	50	0.313868	0.104623
50	60	0.220802	0.0736008
60	70	0.127736	0.0425788
70	80	0.0346705	0.0115568
80	90	0.028732	0.00957732
90	100	0.0227935	0.00759782
100	110	0.016855	0.00561832
110	120	0.0109164	0.00363882
120	130	0.00497794	0.00165931
130	140	0.0052341	0.0017447
140	150	0.00549026	0.00183009
150	160	0.00574641	0.00191547
160	170	0.00600257	0.00200086
170	180	0.00625873	0.00208624
180	190	0.00602689	0.00200896
190	200	0.00579505	0.00193168
200	210	0.00556321	0.0018544
210	220	0.00533137	0.00177712
220	230	0.00509953	0.00169984
230	240	0.00454333	0.00151444
240	250	0.00398712	0.00132904
250	260	0.00343091	0.00114364
260	270	0.00287471	0.000958236
270	280	0.0023185	0.000772834
280	290	0.00263064	0.00087688
290	300	0.00294278	0.000980926
300	310	0.00325491	0.00108497
310	320	0.00356705	0.00118902
320	330	0.00387919	0.00129306
330	340	0.00387259	0.00129086
340	350	0.00386598	0.00128866
350	360	0.00385938	0.00128646
360	370	0.00385277	0.00128426
370	380	0.00384617	0.00128206
380	390	0.00396538	0.00132179
390	400	0.00408459	0.00136153
400	410	0.0042038	0.00140127
410	420	0.00432301	0.001441
420	430	0.00444221	0.00148074
430	440	0.00379565	0.00126522
440	450	0.00314908	0.00104969
450	460	0.00250251	0.000834171
460	470	0.00185595	0.000618649
470	480	0.00120938	0.000403126
480	490	0.00124395	0.00041465
490	500	0.00127852	0.000426173
500	510	0.00131309	0.000437697
510	520	0.00134766	0.00044922
520	530	0.00138223	0.000460744
530	540	0.000709569	0.000236523
540	550	3.69072e-05	1.23024e-05
550	560	-0.000635755	0.000211918
560	570	-0.00130842	0.000436139
570	580	-0.00198108	0.00066036
580	590	-0.00348371	0.00116124
590	600	-0.00498635	0.00166212
600	610	-0.00648898	0.00216299
610	620	-0.00799161	0.00266387
620	630	-0.00949425	0.00316475
630	640	-0.00718002	0.00239334
640	650	-0.0048658	0.00162193
650	660	-0.00255158	0.000850526
660	670	-0.000237358	7.91192e-05
670	680	0.00207686	0.000692288
680	690	0.0641754	0.0213918
690	700	0.126274	0.0420913
700	710	0.188372	0.0627908
710	720	0.250471	0.0834903
720	730	0.312569	0.10419
730	740	0.260214	0.0867378
740	750	0.207858	0.0692859
750	760	0.155502	0.0518339
760	770	0.103146	0.0343819
770	780	0.0507897	0.0169299
780	790	-0.0341377	0.0113792
790	800	-0.119065	0.0396884
