# MC Backscattering Correction Delta_{2,3} for Analysis Choice 0
#
#E_lo	E_hi	correction	uncertainty
0	10	0	0
10	20	0	0
20	30	0	0
30	40	0	0
40	50	0	0
50	60	0	0
60	70	0	0
70	80	0	0
80	90	0	0
90	100	0	0
100	110	0	0
110	120	0	0
120	130	0	0
130	140	0	0
140	150	0	0
150	160	0	0
160	170	0	0
170	180	0	0
180	190	0	0
190	200	0	0
200	210	0	0
210	220	0	0
220	230	0	0
230	240	0	0
240	250	0	0
250	260	0	0
260	270	0	0
270	280	0	0
280	290	0	0
290	300	0	0
300	310	0	0
310	320	0	0
320	330	0	0
330	340	0	0
340	350	0	0
350	360	0	0
360	370	0	0
370	380	0	0
380	390	0	0
390	400	0	0
400	410	0	0
410	420	0	0
420	430	0	0
430	440	0	0
440	450	0	0
450	460	0	0
460	470	0	0
470	480	0	0
480	490	0	0
490	500	0	0
500	510	0	0
510	520	0	0
520	530	0	0
530	540	0	0
540	550	0	0
550	560	0	0
560	570	0	0
570	580	0	0
580	590	0	0
590	600	0	0
600	610	0	0
610	620	0	0
620	630	0	0
630	640	0	0
640	650	0	0
650	660	0	0
660	670	0	0
670	680	0	0
680	690	0	0
690	700	0	0
700	710	0	0
710	720	0	0
720	730	0	0
730	740	0	0
740	750	0	0
750	760	0	0
760	770	0	0
770	780	0	0
780	790	0	0
790	800	0	0
