# MC Backscattering Correction Delta_{2,3} for Analysis Choice A
#
#E_lo	E_hi	correction	uncertainty
0	10	-1.04607	0.261517
10	20	-0.923034	0.230758
20	30	-0.8	0.2
30	40	-0.676966	0.169242
40	50	-0.553933	0.138483
50	60	-0.430899	0.107725
60	70	-0.307865	0.0769663
70	80	-0.184831	0.0462078
80	90	-0.135348	0.0338371
90	100	-0.0858654	0.0214664
100	110	-0.0363824	0.0090956
110	120	0.0131006	0.00327514
120	130	0.0625836	0.0156459
130	140	0.0682656	0.0170664
140	150	0.0739476	0.0184869
150	160	0.0796297	0.0199074
160	170	0.0853117	0.0213279
170	180	0.0909938	0.0227484
180	190	0.101096	0.0252741
190	200	0.111199	0.0277997
200	210	0.121301	0.0303253
210	220	0.131404	0.0328509
220	230	0.141506	0.0353765
230	240	0.114371	0.0285927
240	250	0.0872357	0.0218089
250	260	0.0601005	0.0150251
260	270	0.0329654	0.00824134
270	280	0.00583017	0.00145754
280	290	0.00507543	0.00126886
290	300	0.00432069	0.00108017
300	310	0.00356596	0.000891489
310	320	0.00281122	0.000702804
320	330	0.00205648	0.00051412
330	340	-0.00020349	5.08726e-05
340	350	-0.00246346	0.000615865
350	360	-0.00472343	0.00118086
360	370	-0.0069834	0.00174585
370	380	-0.00924337	0.00231084
380	390	-0.00697541	0.00174385
390	400	-0.00470746	0.00117686
400	410	-0.0024395	0.000609875
410	420	-0.000171542	4.28855e-05
420	430	0.00209641	0.000524104
430	440	0.00280099	0.000700247
440	450	0.00350556	0.000876391
450	460	0.00421014	0.00105253
460	470	0.00491471	0.00122868
470	480	0.00561929	0.00140482
480	490	0.00502748	0.00125687
490	500	0.00443568	0.00110892
500	510	0.00384388	0.00096097
510	520	0.00325208	0.000813019
520	530	0.00266027	0.000665069
530	540	0.00238357	0.000595891
540	550	0.00210686	0.000526714
550	560	0.00183015	0.000457537
560	570	0.00155344	0.00038836
570	580	0.00127673	0.000319183
580	590	0.00234575	0.000586438
590	600	0.00341477	0.000853693
600	610	0.0044838	0.00112095
610	620	0.00555282	0.0013882
620	630	0.00662184	0.00165546
630	640	0.00594368	0.00148592
640	650	0.00526552	0.00131638
650	660	0.00458736	0.00114684
660	670	0.00390921	0.000977302
670	680	0.00323105	0.000807762
680	690	0.00303245	0.000758111
690	700	0.00283384	0.000708461
700	710	0.00263524	0.00065881
710	720	0.00243664	0.000609159
720	730	0.00223804	0.000559509
730	740	-0.0025883	0.000647074
740	750	-0.00741463	0.00185366
750	760	-0.012241	0.00306024
760	770	-0.0170673	0.00426682
770	780	-0.0218936	0.00547341
780	790	-0.050031	0.0125078
790	800	-0.0781684	0.0195421
