# MC Acceptance Correction Delta_3 for Analysis Choice A
#
#E_lo	E_hi	correction	uncertainty
0	10	-1.09265	0.273162
10	20	-0.946324	0.236581
20	30	-0.8	0.2
30	40	-0.653676	0.163419
40	50	-0.507351	0.126838
50	60	-0.361027	0.0902568
60	70	-0.214703	0.0536757
70	80	-0.0683785	0.0170946
80	90	-0.0559014	0.0139754
90	100	-0.0434244	0.0108561
100	110	-0.0309473	0.00773683
110	120	-0.0184703	0.00461756
120	130	-0.00599319	0.0014983
130	140	-0.00328948	0.000822371
140	150	-0.000585783	0.000146446
150	160	0.00211792	0.00052948
160	170	0.00482162	0.00120541
170	180	0.00752532	0.00188133
180	190	0.0073386	0.00183465
190	200	0.00715187	0.00178797
200	210	0.00696514	0.00174128
210	220	0.00677841	0.0016946
220	230	0.00659168	0.00164792
230	240	0.00669103	0.00167276
240	250	0.00679038	0.00169759
250	260	0.00688972	0.00172243
260	270	0.00698907	0.00174727
270	280	0.00708842	0.00177211
280	290	0.00633049	0.00158262
290	300	0.00557256	0.00139314
300	310	0.00481462	0.00120366
310	320	0.00405669	0.00101417
320	330	0.00329876	0.00082469
330	340	0.0025664	0.000641599
340	350	0.00183403	0.000458509
350	360	0.00110167	0.000275418
360	370	0.00036931	9.23276e-05
370	380	-0.000363052	9.0763e-05
380	390	-0.00101039	0.000252599
390	400	-0.00165774	0.000414434
400	410	-0.00230508	0.00057627
410	420	-0.00295242	0.000738105
420	430	-0.00359976	0.000899941
430	440	-0.00427067	0.00106767
440	450	-0.00494158	0.0012354
450	460	-0.00561249	0.00140312
460	470	-0.0062834	0.00157085
470	480	-0.00695431	0.00173858
480	490	-0.00755157	0.00188789
490	500	-0.00814884	0.00203721
500	510	-0.0087461	0.00218652
510	520	-0.00934336	0.00233584
520	530	-0.00994062	0.00248516
530	540	-0.0107363	0.00268409
540	550	-0.0115321	0.00288302
550	560	-0.0123278	0.00308195
560	570	-0.0131235	0.00328088
570	580	-0.0139192	0.00347981
580	590	-0.014802	0.00370049
590	600	-0.0156847	0.00392118
600	610	-0.0165675	0.00414187
610	620	-0.0174502	0.00436255
620	630	-0.018333	0.00458324
630	640	-0.0195029	0.00487574
640	650	-0.0206729	0.00516824
650	660	-0.0218429	0.00546073
660	670	-0.0230129	0.00575323
670	680	-0.0241829	0.00604573
680	690	-0.0257832	0.00644581
690	700	-0.0273835	0.00684589
700	710	-0.0289839	0.00724596
710	720	-0.0305842	0.00764604
720	730	-0.0321845	0.00804612
730	740	-0.0341587	0.00853967
740	750	-0.0361329	0.00903323
750	760	-0.0381071	0.00952678
760	770	-0.0400813	0.0100203
770	780	-0.0420555	0.0105139
780	790	0.0214926	0.00537316
790	800	0.0850408	0.0212602
