# MC Acceptance Correction Delta_3 for Analysis Choice B
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.0559671	0.0186557
10	20	-0.0595475	0.0198492
20	30	-0.0631279	0.0210426
30	40	-0.0667082	0.0222361
40	50	-0.0702886	0.0234295
50	60	-0.073869	0.024623
60	70	-0.0774493	0.0258164
70	80	-0.0810297	0.0270099
80	90	-0.0706974	0.0235658
90	100	-0.0603651	0.0201217
100	110	-0.0500328	0.0166776
110	120	-0.0397005	0.0132335
120	130	-0.0293682	0.00978939
130	140	-0.0267788	0.00892627
140	150	-0.0241895	0.00806316
150	160	-0.0216001	0.00720004
160	170	-0.0190108	0.00633693
170	180	-0.0164214	0.00547381
180	190	-0.0154927	0.00516423
190	200	-0.014564	0.00485466
200	210	-0.0136352	0.00454508
210	220	-0.0127065	0.0042355
220	230	-0.0117778	0.00392592
230	240	-0.0114101	0.00380336
240	250	-0.0110424	0.00368079
250	260	-0.0106747	0.00355823
260	270	-0.010307	0.00343567
270	280	-0.00993931	0.0033131
280	290	-0.00985713	0.00328571
290	300	-0.00977495	0.00325832
300	310	-0.00969276	0.00323092
310	320	-0.00961058	0.00320353
320	330	-0.0095284	0.00317613
330	340	-0.00965432	0.00321811
340	350	-0.00978024	0.00326008
350	360	-0.00990616	0.00330205
360	370	-0.0100321	0.00334403
370	380	-0.010158	0.003386
380	390	-0.0104616	0.00348719
390	400	-0.0107651	0.00358837
400	410	-0.0110687	0.00368956
410	420	-0.0113722	0.00379074
420	430	-0.0116758	0.00389193
430	440	-0.0120569	0.00401896
440	450	-0.012438	0.00414599
450	460	-0.0128191	0.00427303
460	470	-0.0132002	0.00440006
470	480	-0.0135813	0.00452709
480	490	-0.0139695	0.0046565
490	500	-0.0143577	0.0047859
500	510	-0.0147459	0.00491531
510	520	-0.0151341	0.00504471
520	530	-0.0155224	0.00517412
530	540	-0.0161522	0.00538408
540	550	-0.0167821	0.00559403
550	560	-0.017412	0.00580399
560	570	-0.0180418	0.00601394
570	580	-0.0186717	0.0062239
580	590	-0.0194816	0.00649386
590	600	-0.0202915	0.00676383
600	610	-0.0211014	0.00703379
610	620	-0.0219113	0.00730376
620	630	-0.0227212	0.00757372
630	640	-0.0237755	0.00792517
640	650	-0.0248298	0.00827661
650	660	-0.0258842	0.00862806
660	670	-0.0269385	0.0089795
670	680	-0.0279928	0.00933095
680	690	-0.0303547	0.0101182
690	700	-0.0327166	0.0109055
700	710	-0.0350785	0.0116928
710	720	-0.0374403	0.0124801
720	730	-0.0398022	0.0132674
730	740	-0.0412143	0.0137381
740	750	-0.0426263	0.0142088
750	760	-0.0440384	0.0146795
760	770	-0.0454505	0.0151502
770	780	-0.0468625	0.0156208
780	790	-0.0195645	0.0065215
790	800	0.00773352	0.00257784
