# MC Acceptance Correction Delta_3 for Analysis Choice C
#
#E_lo	E_hi	correction	uncertainty
0	10	1.08093	0.36031
10	20	0.914561	0.304854
20	30	0.748193	0.249398
30	40	0.581824	0.193941
40	50	0.415456	0.138485
50	60	0.249087	0.0830291
60	70	0.0827189	0.027573
70	80	-0.0836495	0.0278832
80	90	-0.0727544	0.0242515
90	100	-0.0618593	0.0206198
100	110	-0.0509641	0.016988
110	120	-0.040069	0.0133563
120	130	-0.0291739	0.00972462
130	140	-0.0265264	0.00884212
140	150	-0.0238789	0.00795962
150	160	-0.0212314	0.00707712
160	170	-0.0185839	0.00619462
170	180	-0.0159364	0.00531212
180	190	-0.0149929	0.00499765
190	200	-0.0140495	0.00468317
200	210	-0.0131061	0.00436869
210	220	-0.0121626	0.00405421
220	230	-0.0112192	0.00373973
230	240	-0.0108197	0.00360657
240	250	-0.0104202	0.00347341
250	260	-0.0100207	0.00334024
260	270	-0.00962123	0.00320708
270	280	-0.00922173	0.00307391
280	290	-0.00913736	0.00304579
290	300	-0.00905298	0.00301766
300	310	-0.0089686	0.00298953
310	320	-0.00888423	0.00296141
320	330	-0.00879985	0.00293328
330	340	-0.00894017	0.00298006
340	350	-0.00908049	0.00302683
350	360	-0.00922081	0.0030736
360	370	-0.00936114	0.00312038
370	380	-0.00950146	0.00316715
380	390	-0.00980726	0.00326909
390	400	-0.0101131	0.00337102
400	410	-0.0104189	0.00347296
410	420	-0.0107247	0.0035749
420	430	-0.0110305	0.00367683
430	440	-0.011423	0.00380766
440	450	-0.0118155	0.00393849
450	460	-0.0122079	0.00406932
460	470	-0.0126004	0.00420014
470	480	-0.0129929	0.00433097
480	490	-0.0134277	0.00447589
490	500	-0.0138624	0.0046208
500	510	-0.0142972	0.00476572
510	520	-0.0147319	0.00491063
520	530	-0.0151666	0.00505555
530	540	-0.0157916	0.00526386
540	550	-0.0164165	0.00547218
550	560	-0.0170415	0.00568049
560	570	-0.0176664	0.0058888
570	580	-0.0182914	0.00609712
580	590	-0.0191484	0.0063828
590	600	-0.0200055	0.00666849
600	610	-0.0208625	0.00695417
610	620	-0.0217196	0.00723986
620	630	-0.0225766	0.00752554
630	640	-0.0235389	0.00784632
640	650	-0.0245013	0.00816709
650	660	-0.0254636	0.00848786
660	670	-0.0264259	0.00880863
670	680	-0.0273882	0.00912941
680	690	-0.0297533	0.00991778
690	700	-0.0321184	0.0107061
700	710	-0.0344836	0.0114945
710	720	-0.0368487	0.0122829
720	730	-0.0392138	0.0130713
730	740	-0.0396616	0.0132205
740	750	-0.0401095	0.0133698
750	760	-0.0405573	0.0135191
760	770	-0.0410052	0.0136684
770	780	-0.0414531	0.0138177
780	790	-0.0127685	0.00425618
790	800	0.015916	0.00530533
