# MC Acceptance Correction Delta_3 for Analysis Choice D
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.0352735	0.00881836
10	20	-0.0418515	0.0104629
20	30	-0.0484295	0.0121074
30	40	-0.0550075	0.0137519
40	50	-0.0615855	0.0153964
50	60	-0.0681635	0.0170409
60	70	-0.0747416	0.0186854
70	80	-0.0813196	0.0203299
80	90	-0.0709707	0.0177427
90	100	-0.0606218	0.0151555
100	110	-0.0502729	0.0125682
110	120	-0.039924	0.00998101
120	130	-0.0295752	0.00739379
130	140	-0.0273007	0.00682518
140	150	-0.0250263	0.00625658
150	160	-0.0227519	0.00568797
160	170	-0.0204774	0.00511936
170	180	-0.018203	0.00455076
180	190	-0.0177505	0.00443761
190	200	-0.0172979	0.00432447
200	210	-0.0168453	0.00421133
210	220	-0.0163928	0.00409819
220	230	-0.0159402	0.00398505
230	240	-0.015932	0.00398301
240	250	-0.0159239	0.00398097
250	260	-0.0159157	0.00397893
260	270	-0.0159076	0.00397689
270	280	-0.0158994	0.00397485
280	290	-0.0160998	0.00402494
290	300	-0.0163001	0.00407502
300	310	-0.0165004	0.0041251
310	320	-0.0167007	0.00417519
320	330	-0.0169011	0.00422527
330	340	-0.017138	0.0042845
340	350	-0.0173749	0.00434373
350	360	-0.0176118	0.00440296
360	370	-0.0178487	0.00446219
370	380	-0.0180857	0.00452141
380	390	-0.0185398	0.00463494
390	400	-0.0189939	0.00474847
400	410	-0.019448	0.00486199
410	420	-0.0199021	0.00497552
420	430	-0.0203562	0.00508904
430	440	-0.0207752	0.00519379
440	450	-0.0211942	0.00529854
450	460	-0.0216132	0.00540329
460	470	-0.0220322	0.00550804
470	480	-0.0224512	0.00561279
480	490	-0.0228333	0.00570832
490	500	-0.0232154	0.00580386
500	510	-0.0235976	0.00589939
510	520	-0.0239797	0.00599493
520	530	-0.0243618	0.00609046
530	540	-0.0249792	0.0062448
540	550	-0.0255966	0.00639914
550	560	-0.0262139	0.00655348
560	570	-0.0268313	0.00670782
570	580	-0.0274487	0.00686216
580	590	-0.0282851	0.00707127
590	600	-0.0291215	0.00728038
600	610	-0.029958	0.00748949
610	620	-0.0307944	0.0076986
620	630	-0.0316308	0.0079077
630	640	-0.0327447	0.00818617
640	650	-0.0338585	0.00846464
650	660	-0.0349724	0.0087431
660	670	-0.0360863	0.00902157
670	680	-0.0372002	0.00930004
680	690	-0.0388491	0.00971228
690	700	-0.0404981	0.0101245
700	710	-0.0421471	0.0105368
710	720	-0.0437961	0.010949
720	730	-0.045445	0.0113613
730	740	-0.0471615	0.0117904
740	750	-0.048878	0.0122195
750	760	-0.0505945	0.0126486
760	770	-0.052311	0.0130777
770	780	-0.0540274	0.0135069
780	790	-0.116693	0.0291734
790	800	-0.179359	0.0448398
