# MC Acceptance Correction Delta_3 for Analysis Choice E
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.0340451	0.00851127
10	20	-0.0407451	0.0101863
20	30	-0.0474452	0.0118613
30	40	-0.0541452	0.0135363
40	50	-0.0608453	0.0152113
50	60	-0.0675453	0.0168863
60	70	-0.0742454	0.0185613
70	80	-0.0809454	0.0202364
80	90	-0.0705479	0.017637
90	100	-0.0601504	0.0150376
100	110	-0.0497528	0.0124382
110	120	-0.0393553	0.00983883
120	130	-0.0289578	0.00723945
130	140	-0.026408	0.006602
140	150	-0.0238582	0.00596455
150	160	-0.0213084	0.0053271
160	170	-0.0187586	0.00468965
170	180	-0.0162088	0.00405221
180	190	-0.0152933	0.00382333
190	200	-0.0143778	0.00359444
200	210	-0.0134622	0.00336556
210	220	-0.0125467	0.00313668
220	230	-0.0116312	0.0029078
230	240	-0.0112654	0.00281635
240	250	-0.0108996	0.0027249
250	260	-0.0105338	0.00263345
260	270	-0.010168	0.002542
270	280	-0.00980222	0.00245056
280	290	-0.00972762	0.00243191
290	300	-0.00965302	0.00241325
300	310	-0.00957842	0.0023946
310	320	-0.00950382	0.00237595
320	330	-0.00942922	0.0023573
330	340	-0.009551	0.00238775
340	350	-0.00967278	0.0024182
350	360	-0.00979457	0.00244864
360	370	-0.00991635	0.00247909
370	380	-0.0100381	0.00250953
380	390	-0.0103475	0.00258687
390	400	-0.0106568	0.0026642
400	410	-0.0109661	0.00274154
410	420	-0.0112755	0.00281887
420	430	-0.0115848	0.0028962
430	440	-0.0119586	0.00298966
440	450	-0.0123324	0.00308311
450	460	-0.0127062	0.00317656
460	470	-0.01308	0.00327001
470	480	-0.0134538	0.00336346
480	490	-0.013849	0.00346225
490	500	-0.0142441	0.00356103
500	510	-0.0146393	0.00365982
510	520	-0.0150344	0.0037586
520	530	-0.0154296	0.00385739
530	540	-0.0160668	0.00401671
540	550	-0.0167041	0.00417603
550	560	-0.0173414	0.00433535
560	570	-0.0179787	0.00449467
570	580	-0.018616	0.00465399
580	590	-0.0194282	0.00485706
590	600	-0.0202405	0.00506013
600	610	-0.0210528	0.0052632
610	620	-0.0218651	0.00546627
620	630	-0.0226774	0.00566934
630	640	-0.0237808	0.00594521
640	650	-0.0248843	0.00622108
650	660	-0.0259878	0.00649695
660	670	-0.0270913	0.00677281
670	680	-0.0281947	0.00704868
680	690	-0.0298885	0.00747212
690	700	-0.0315822	0.00789555
700	710	-0.0332759	0.00831898
710	720	-0.0349697	0.00874242
720	730	-0.0366634	0.00916585
730	740	-0.0383731	0.00959328
740	750	-0.0400828	0.0100207
750	760	-0.0417925	0.0104481
760	770	-0.0435022	0.0108755
770	780	-0.0452119	0.011303
780	790	0.00277059	0.000692648
790	800	0.050753	0.0126883
