# Uncertainty from energy calibration linearity envelope for 2010 data
#E_lo	E_hi	correction	uncertainty
0	10	0.000000	0.220322
10	20	0.000000	0.076309
20	30	0.000000	0.045185
30	40	0.000000	0.031598
40	50	0.000000	0.024001
50	60	0.000000	0.019159
60	70	0.000000	0.015812
70	80	0.000000	0.013364
80	90	0.000000	0.011501
90	100	0.000000	0.010039
100	110	0.000000	0.008862
110	120	0.000000	0.007897
120	130	0.000000	0.007092
130	140	0.000000	0.006412
140	150	0.000000	0.005830
150	160	0.000000	0.005328
160	170	0.000000	0.004891
170	180	0.000000	0.004508
180	190	0.000000	0.004169
190	200	0.000000	0.003868
200	210	0.000000	0.003689
210	220	0.000000	0.003608
220	230	0.000000	0.003530
230	240	0.000000	0.003454
240	250	0.000000	0.003381
250	260	0.000000	0.003311
260	270	0.000000	0.003242
270	280	0.000000	0.003176
280	290	0.000000	0.003112
290	300	0.000000	0.003049
300	310	0.000000	0.002989
310	320	0.000000	0.002930
320	330	0.000000	0.002873
330	340	0.000000	0.002818
340	350	0.000000	0.002765
350	360	0.000000	0.002713
360	370	0.000000	0.002662
370	380	0.000000	0.002613
380	390	0.000000	0.002565
390	400	0.000000	0.002519
400	410	0.000000	0.002473
410	420	0.000000	0.002430
420	430	0.000000	0.002387
430	440	0.000000	0.002345
440	450	0.000000	0.002305
450	460	0.000000	0.002265
460	470	0.000000	0.002227
470	480	0.000000	0.002189
480	490	0.000000	0.002153
490	500	0.000000	0.002117
500	510	0.000000	0.002062
510	520	0.000000	0.001989
520	530	0.000000	0.001920
530	540	0.000000	0.001855
540	550	0.000000	0.001792
550	560	0.000000	0.001732
560	570	0.000000	0.001676
570	580	0.000000	0.001621
580	590	0.000000	0.001569
590	600	0.000000	0.001520
600	610	0.000000	0.001472
610	620	0.000000	0.001427
620	630	0.000000	0.001383
630	640	0.000000	0.001342
640	650	0.000000	0.001302
650	660	0.000000	0.001263
660	670	0.000000	0.001226
670	680	0.000000	0.001191
680	690	0.000000	0.001157
690	700	0.000000	0.001125
700	710	0.000000	0.001093
710	720	0.000000	0.001063
720	730	0.000000	0.001034
730	740	0.000000	0.001006
740	750	0.000000	0.000979
750	760	0.000000	0.000953
760	770	0.000000	0.000928
770	780	0.000000	0.000904
780	790	0.000000	0.000881
790	800	0.000000	0.000859
800	810	0.000000	0.000837
810	820	0.000000	0.000816
820	830	0.000000	0.000796
830	840	0.000000	0.000776
840	850	0.000000	0.000757
850	860	0.000000	0.000739
860	870	0.000000	0.000721
870	880	0.000000	0.000704
880	890	0.000000	0.000688
890	900	0.000000	0.000672
900	910	0.000000	0.000656
910	920	0.000000	0.000641
920	930	0.000000	0.000627
930	940	0.000000	0.000613
940	950	0.000000	0.000599
950	960	0.000000	0.000586
960	970	0.000000	0.000573
970	980	0.000000	0.000560
980	990	0.000000	0.000548
990	1000	0.000000	0.000536
