# Run-to-run gain fluctuations uncertainty for anticorrelated delta = 0.000125
#
#E_lo	E_hi	correction	uncertainty
0	10	0	0.000473334
10	20	0	0.00245767
20	30	0	0.00759175
30	40	0	0.0119485
40	50	0	0.00741364
50	60	0	0.00718341
60	70	0	0.00658287
70	80	0	0.00437624
80	90	0	0.0031097
90	100	0	0.00236129
100	110	0	0.00196522
110	120	0	0.00163332
120	130	0	0.00149992
130	140	0	0.00125524
140	150	0	0.00103613
150	160	0	0.000954878
160	170	0	0.000810818
170	180	0	0.000576097
180	190	0	0.000610643
190	200	0	0.000668689
200	210	0	0.000470374
210	220	0	0.000301576
220	230	0	0.000132227
230	240	0	0.000177621
240	250	0	0.000144143
250	260	0	2.83211e-05
260	270	0	-0.000106095
270	280	0	-0.000130973
280	290	0	-0.000325386
290	300	0	-0.000261238
300	310	0	-0.000299086
310	320	0	-0.000407382
320	330	0	-0.000673484
330	340	0	-0.000558353
340	350	0	-0.000879117
350	360	0	-0.000757967
360	370	0	-0.000822585
370	380	0	-0.00119385
380	390	0	-0.000908612
390	400	0	-0.00131281
400	410	0	-0.00120374
410	420	0	-0.00157833
420	430	0	-0.00149017
430	440	0	-0.00209532
440	450	0	-0.00170052
450	460	0	-0.00185708
460	470	0	-0.00241885
470	480	0	-0.00225366
480	490	0	-0.00279153
490	500	0	-0.00288928
500	510	0	-0.0027499
510	520	0	-0.00292102
520	530	0	-0.00329846
530	540	0	-0.00384968
540	550	0	-0.00373655
550	560	0	-0.00383539
560	570	0	-0.00517474
570	580	0	-0.00407022
580	590	0	-0.00496776
590	600	0	-0.0059836
600	610	0	-0.00585297
610	620	0	-0.00594489
620	630	0	-0.00760997
630	640	0	-0.00660584
640	650	0	-0.00754578
650	660	0	-0.0105787
660	670	0	-0.00764991
670	680	0	-0.0110174
680	690	0	-0.00935877
690	700	0	-0.016534
700	710	0	-0.0135231
710	720	0	-0.0165843
720	730	0	-0.023942
730	740	0	-0.0185901
740	750	0	-0.0200433
750	760	0	-0.0155938
760	770	0	-0.0221759
770	780	0	-0.0153763
780	790	0	0.479841
790	800	0	-0.0190115
