# MC correction
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.155213	0.0776064
10	20	-0.144444	0.0722219
20	30	-0.133675	0.0668374
30	40	-0.122906	0.0614529
40	50	-0.112137	0.0560684
50	60	-0.101368	0.0506839
60	70	-0.0905987	0.0452994
70	80	-0.0798297	0.0399149
80	90	-0.0690607	0.0345304
90	100	-0.0582917	0.0291459
100	110	-0.0475227	0.0237613
110	120	-0.0367537	0.0183768
120	130	-0.0259847	0.0129923
130	140	-0.0152157	0.00760784
140	150	-0.00444668	0.00222334
150	160	0.000934839	0.00046742
160	170	0.000928879	0.000464439
170	180	0.000922918	0.000461459
180	190	0.000916958	0.000458479
190	200	0.000910997	0.000455499
200	210	0.000905037	0.000452518
210	220	0.000899076	0.000449538
220	230	0.000893116	0.000446558
230	240	0.000887156	0.000443578
240	250	0.000881195	0.000440598
250	260	0.000926757	0.000463378
260	270	0.00102384	0.00051192
270	280	0.00112092	0.000560462
280	290	0.00121801	0.000609004
290	300	0.00131509	0.000657547
300	310	0.00141218	0.000706089
310	320	0.00150926	0.000754631
320	330	0.00160635	0.000803173
330	340	0.00170343	0.000851715
340	350	0.00180051	0.000900257
350	360	0.0018913	0.000945649
360	370	0.00197578	0.00098789
370	380	0.00206026	0.00103013
380	390	0.00214475	0.00107237
390	400	0.00222923	0.00111462
400	410	0.00231372	0.00115686
410	420	0.0023982	0.0011991
420	430	0.00248268	0.00124134
430	440	0.00256717	0.00128358
440	450	0.00265165	0.00132582
450	460	0.00242007	0.00121004
460	470	0.00187243	0.000936215
470	480	0.00132479	0.000662394
480	490	0.000777146	0.000388573
490	500	0.000229505	0.000114752
500	510	-0.000318137	0.000159068
510	520	-0.000865778	0.000432889
520	530	-0.00141342	0.00070671
530	540	-0.00196106	0.000980531
540	550	-0.0025087	0.00125435
550	560	-0.00242911	0.00121455
560	570	-0.00172227	0.000861137
570	580	-0.00101544	0.00050772
580	590	-0.000308606	0.000154303
590	600	0.000398228	0.000199114
600	610	0.00110506	0.000552531
610	620	0.00181189	0.000905947
620	630	0.00251873	0.00125936
630	640	0.00322556	0.00161278
640	650	0.0039324	0.0019662
650	660	0.00380435	0.00190217
660	670	0.00284142	0.00142071
670	680	0.0018785	0.00093925
680	690	0.000915575	0.000457788
690	700	-4.73499e-05	2.3675e-05
700	710	-0.00101027	0.000505137
710	720	-0.0019732	0.0009866
720	730	-0.00293612	0.00146806
730	740	-0.00389905	0.00194952
740	750	-0.00486197	0.00243099
750	760	0.00116068	0.000580341
760	770	0.0141689	0.00708446
770	780	0.0271772	0.0135886
780	790	0.0401854	0.0200927
790	800	0.0531936	0.0265968
