# MC correction
#
#E_lo	E_hi	correction	uncertainty
0	10	0.0841056	0.0420528
10	20	0.0784811	0.0392406
20	30	0.0728567	0.0364283
30	40	0.0672322	0.0336161
40	50	0.0616078	0.0308039
50	60	0.0559833	0.0279917
60	70	0.0503589	0.0251794
70	80	0.0447344	0.0223672
80	90	0.03911	0.019555
90	100	0.0334855	0.0167428
100	110	0.0278611	0.0139306
110	120	0.0222367	0.0111183
120	130	0.0166122	0.0083061
130	140	0.0109878	0.00549388
140	150	0.0053633	0.00268165
150	160	0.0024938	0.0012469
160	170	0.00237924	0.00118962
170	180	0.00226468	0.00113234
180	190	0.00215012	0.00107506
190	200	0.00203556	0.00101778
200	210	0.001921	0.000960499
210	220	0.00180644	0.000903219
220	230	0.00169188	0.000845939
230	240	0.00157732	0.000788659
240	250	0.00146276	0.000731379
250	260	0.00145312	0.00072656
260	270	0.0015484	0.000774202
270	280	0.00164369	0.000821844
280	290	0.00173897	0.000869486
290	300	0.00183426	0.000917128
300	310	0.00192954	0.00096477
310	320	0.00202482	0.00101241
320	330	0.00212011	0.00106005
330	340	0.00221539	0.0011077
340	350	0.00231068	0.00115534
350	360	0.00233359	0.00116679
360	370	0.00228413	0.00114206
370	380	0.00223467	0.00111733
380	390	0.00218521	0.0010926
390	400	0.00213575	0.00106787
400	410	0.00208629	0.00104314
410	420	0.00203683	0.00101841
420	430	0.00198737	0.000993684
430	440	0.00193791	0.000968954
440	450	0.00188845	0.000944224
450	460	0.00149642	0.00074821
460	470	0.000761822	0.000380911
470	480	2.72244e-05	1.36122e-05
480	490	-0.000707373	0.000353687
490	500	-0.00144197	0.000720985
500	510	-0.00217657	0.00108828
510	520	-0.00291117	0.00145558
520	530	-0.00364576	0.00182288
530	540	-0.00438036	0.00219018
540	550	-0.00511496	0.00255748
550	560	-0.00517445	0.00258722
560	570	-0.00455883	0.00227942
570	580	-0.00394322	0.00197161
580	590	-0.00332761	0.0016638
590	600	-0.00271199	0.001356
600	610	-0.00209638	0.00104819
610	620	-0.00148076	0.000740381
620	630	-0.000865147	0.000432573
630	640	-0.000249532	0.000124766
640	650	0.000366083	0.000183041
650	660	0.000517198	0.000258599
660	670	0.000203815	0.000101908
670	680	-0.000109568	5.47841e-05
680	690	-0.000422952	0.000211476
690	700	-0.000736335	0.000368167
700	710	-0.00104972	0.000524859
710	720	-0.0013631	0.000681551
720	730	-0.00167648	0.000838242
730	740	-0.00198987	0.000994934
740	750	-0.00230325	0.00115163
750	760	0.00297439	0.00148719
760	770	0.0138431	0.00692153
770	780	0.0247117	0.0123559
780	790	0.0355804	0.0177902
790	800	0.046449	0.0232245
