# Run-to-run muon veto efficiency shifts by anticorrelated delta/sqrt(N) = 0.2%
#
#E_lo	E_hi	correction	uncertainty
0	10	0	0.000792472
10	20	0	0.00364887
20	30	0	0.00760687
30	40	0	0.00888928
40	50	0	0.00435262
50	60	0	0.00409398
60	70	0	0.00462121
70	80	0	0.00397062
80	90	0	0.00365144
90	100	0	0.00305838
100	110	0	0.00220606
110	120	0	0.00170589
120	130	0	0.00114583
130	140	0	0.000874348
140	150	0	0.000707378
150	160	0	0.000601985
160	170	0	0.000508354
170	180	0	0.000469185
180	190	0	0.0004177
190	200	0	0.000373853
200	210	0	0.000355817
210	220	0	0.000323074
220	230	0	0.00032344
230	240	0	0.000302724
240	250	0	0.0002751
250	260	0	0.000279211
260	270	0	0.000258328
270	280	0	0.00024684
280	290	0	0.000247147
290	300	0	0.000228336
300	310	0	0.000214476
310	320	0	0.000228129
320	330	0	0.000230261
330	340	0	0.000218575
340	350	0	0.000212973
350	360	0	0.000205188
360	370	0	0.00020853
370	380	0	0.000210818
380	390	0	0.000199262
390	400	0	0.000204704
400	410	0	0.000197243
410	420	0	0.000208501
420	430	0	0.000210256
430	440	0	0.000213472
440	450	0	0.000201221
450	460	0	0.000200774
460	470	0	0.000213632
470	480	0	0.000213285
480	490	0	0.000230244
490	500	0	0.00022955
500	510	0	0.000234184
510	520	0	0.000249654
520	530	0	0.000275132
530	540	0	0.000319013
540	550	0	0.000332881
550	560	0	0.000380401
560	570	0	0.00048751
570	580	0	0.000517186
580	590	0	0.000638687
590	600	0	0.000777627
600	610	0	0.000907848
610	620	0	0.00104911
620	630	0	0.00135613
630	640	0	0.00146506
640	650	0	0.00187768
650	660	0	0.00241408
660	670	0	0.00247909
670	680	0	0.00330352
680	690	0	0.00361703
690	700	0	0.00609533
700	710	0	0.00638054
710	720	0	0.00834188
720	730	0	0.0123559
730	740	0	0.0133493
740	750	0	0.0144645
750	760	0	0.0168402
760	770	0	0.0242402
770	780	0	0.0313194
780	790	0	-0.00655806
790	800	0	0.0777148
