# Uncertainty for neutron-generated backgrounds
#
#E_lo	E_hi	correction	uncertainty
0	10	0.414696	5.24195e-08
10	20	0.000238806	0.00233214
20	30	0.00124469	0.00193584
30	40	0.000153006	0.000622611
40	50	0.000254874	0.000831874
50	60	6.69093e-05	0.000187013
60	70	6.47804e-05	0.000319166
70	80	6.36419e-05	0.000260114
80	90	3.70355e-05	0.000163522
90	100	4.09506e-05	0.000155647
100	110	2.28201e-05	0.000109751
110	120	9.78265e-06	5.35284e-05
120	130	2.19164e-05	8.10196e-05
130	140	1.97483e-05	7.27709e-05
140	150	1.7304e-05	9.94215e-05
150	160	1.91141e-05	6.82006e-05
160	170	6.46402e-06	3.28829e-05
170	180	1.79719e-05	7.54389e-05
180	190	1.0863e-05	6.33224e-05
190	200	2.04474e-05	7.75514e-05
200	210	1.20734e-05	4.82709e-05
210	220	1.4741e-05	5.66297e-05
220	230	1.74159e-05	7.16809e-05
230	240	1.56362e-05	6.89459e-05
240	250	1.70433e-05	6.92054e-05
250	260	1.66352e-05	6.55344e-05
260	270	6.61392e-06	3.23965e-05
270	280	2.24648e-05	7.48131e-05
280	290	2.44988e-05	6.74106e-05
290	300	2.39722e-05	6.58109e-05
300	310	2.23324e-05	5.68671e-05
310	320	1.64392e-05	4.40348e-05
320	330	2.04104e-05	7.02483e-05
330	340	1.68387e-05	5.36758e-05
340	350	1.83212e-05	7.59664e-05
350	360	2.22701e-05	7.31915e-05
360	370	2.37202e-05	7.94209e-05
370	380	3.11123e-05	7.89688e-05
380	390	3.8305e-05	0.000108183
390	400	2.89945e-05	8.72076e-05
400	410	2.75526e-05	7.59074e-05
410	420	3.41181e-05	9.73727e-05
420	430	2.87308e-05	8.31484e-05
430	440	2.38559e-05	6.81853e-05
440	450	2.97299e-05	9.45394e-05
450	460	4.38088e-05	0.000110613
460	470	5.57005e-05	0.000148232
470	480	5.06234e-05	0.000137577
480	490	4.48818e-05	0.000120852
490	500	4.91455e-05	0.000160441
500	510	3.79012e-05	0.000126603
510	520	7.46773e-05	0.000183677
520	530	9.14633e-05	0.000198168
530	540	7.04222e-05	0.00025719
540	550	8.17604e-05	0.000246831
550	560	0.000119763	0.000261737
560	570	9.84057e-05	0.000244307
570	580	0.000126607	0.000281475
580	590	0.000160957	0.000389148
590	600	0.000164955	0.000517836
600	610	0.000199212	0.000621575
610	620	0.000259513	0.000561195
620	630	0.000331879	0.000799011
630	640	0.000261122	0.000865763
640	650	0.000400508	0.000831071
650	660	0.00031731	0.000970413
660	670	0.000601739	0.00128935
670	680	0.000296436	0.00128365
680	690	0.000703246	0.00173973
690	700	0.000784952	0.00232536
700	710	0.00111768	0.00296518
710	720	0.000649516	0.00267237
720	730	0.00156565	0.00365093
730	740	0.00186102	0.00909963
740	750	0.00238198	0.00824022
750	760	0.00338142	0.00824411
760	770	0.00513769	0.0123644
770	780	0.00767297	0.022231
780	790	0.00619637	0.0311618
790	800	0.00844068	0.0433506
