# Run-to-run pedestal shifts uncertainty for anticorrelated delta/sqrt(N) = 0.015 keV
#
#E_lo	E_hi	correction	uncertainty
0	10	0	1
10	20	0	0.0201863
20	30	0	0.0214288
30	40	0	0.049697
40	50	0	0.0256102
50	60	0	0.0158944
60	70	0	0.0107641
70	80	0	0.00629354
80	90	0	0.0041541
90	100	0	0.00292018
100	110	0	0.00222207
110	120	0	0.00169613
120	130	0	0.00140953
130	140	0	0.00112654
140	150	0	0.000937472
150	160	0	0.000682151
160	170	0	0.000631697
170	180	0	0.000440668
180	190	0	0.000383978
190	200	0	0.000437852
200	210	0	0.000301057
210	220	0	0.000198036
220	230	0	0.000121624
230	240	0	7.14764e-05
240	250	0	5.09314e-05
250	260	0	7.02414e-05
260	270	0	-0.000121388
270	280	0	1.38581e-05
280	290	0	-0.000161995
290	300	0	-6.01568e-05
300	310	0	-0.000131982
310	320	0	-0.000136689
320	330	0	-0.000290152
330	340	0	-0.000183442
340	350	0	-0.000256085
350	360	0	-0.000308346
360	370	0	-0.000259765
370	380	0	-0.000271023
380	390	0	-0.000453165
390	400	0	-0.000261309
400	410	0	-0.000412575
410	420	0	-0.000391636
420	430	0	-0.000527217
430	440	0	-0.000442176
440	450	0	-0.00059205
450	460	0	-0.000540096
460	470	0	-0.000532583
470	480	0	-0.000539193
480	490	0	-0.00075161
490	500	0	-0.000565819
500	510	0	-0.000733883
510	520	0	-0.00082105
520	530	0	-0.000584815
530	540	0	-0.000995231
540	550	0	-0.000769583
550	560	0	-0.000780424
560	570	0	-0.00108651
570	580	0	-0.00095133
580	590	0	-0.00100291
590	600	0	-0.00120796
600	610	0	-0.00125346
610	620	0	-0.00121147
620	630	0	-0.00120416
630	640	0	-0.00152618
640	650	0	-0.0012988
650	660	0	-0.00133998
660	670	0	-0.00167197
670	680	0	-0.00231057
680	690	0	-0.00203802
690	700	0	-0.00219862
700	710	0	-0.0022017
710	720	0	-0.00277316
720	730	0	-0.00244433
730	740	0	-0.00577036
740	750	0	-0.00334703
750	760	0	-0.00246678
760	770	0	-0.00373811
770	780	0	-0.00706773
780	790	0	-0.00705099
790	800	0	-0.0105457
