# Shann Radiative "h-g" corrections
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.002452	0.000000
10	20	-0.002365	0.000000
20	30	-0.002285	0.000000
30	40	-0.002210	0.000000
40	50	-0.002140	0.000000
50	60	-0.002075	0.000000
60	70	-0.002013	0.000000
70	80	-0.001956	0.000000
80	90	-0.001902	0.000000
90	100	-0.001851	0.000000
100	110	-0.001802	0.000000
110	120	-0.001757	0.000000
120	130	-0.001713	0.000000
130	140	-0.001672	0.000000
140	150	-0.001633	0.000000
150	160	-0.001596	0.000000
160	170	-0.001561	0.000000
170	180	-0.001527	0.000000
180	190	-0.001494	0.000000
190	200	-0.001463	0.000000
200	210	-0.001434	0.000000
210	220	-0.001405	0.000000
220	230	-0.001378	0.000000
230	240	-0.001352	0.000000
240	250	-0.001326	0.000000
250	260	-0.001302	0.000000
260	270	-0.001279	0.000000
270	280	-0.001256	0.000000
280	290	-0.001234	0.000000
290	300	-0.001213	0.000000
300	310	-0.001192	0.000000
310	320	-0.001173	0.000000
320	330	-0.001153	0.000000
330	340	-0.001135	0.000000
340	350	-0.001117	0.000000
350	360	-0.001099	0.000000
360	370	-0.001082	0.000000
370	380	-0.001065	0.000000
380	390	-0.001049	0.000000
390	400	-0.001034	0.000000
400	410	-0.001018	0.000000
410	420	-0.001003	0.000000
420	430	-0.000989	0.000000
430	440	-0.000974	0.000000
440	450	-0.000961	0.000000
450	460	-0.000947	0.000000
460	470	-0.000934	0.000000
470	480	-0.000921	0.000000
480	490	-0.000908	0.000000
490	500	-0.000896	0.000000
500	510	-0.000884	0.000000
510	520	-0.000872	0.000000
520	530	-0.000860	0.000000
530	540	-0.000849	0.000000
540	550	-0.000838	0.000000
550	560	-0.000827	0.000000
560	570	-0.000816	0.000000
570	580	-0.000805	0.000000
580	590	-0.000795	0.000000
590	600	-0.000785	0.000000
600	610	-0.000775	0.000000
610	620	-0.000765	0.000000
620	630	-0.000755	0.000000
630	640	-0.000746	0.000000
640	650	-0.000737	0.000000
650	660	-0.000728	0.000000
660	670	-0.000719	0.000000
670	680	-0.000710	0.000000
680	690	-0.000701	0.000000
690	700	-0.000692	0.000000
700	710	-0.000684	0.000000
710	720	-0.000676	0.000000
720	730	-0.000668	0.000000
730	740	-0.000659	0.000000
740	750	-0.000652	0.000000
750	760	-0.000644	0.000000
760	770	-0.000636	0.000000
770	780	-0.000628	0.000000
