# Recoil and weak magnetism theory corrections
#
#E_lo	E_hi	correction	uncertainty
0	10	-0.006864	0.000000
10	20	-0.007111	0.000000
20	30	-0.007358	0.000000
30	40	-0.007606	0.000000
40	50	-0.007855	0.000000
50	60	-0.008104	0.000000
60	70	-0.008354	0.000000
70	80	-0.008605	0.000000
80	90	-0.008857	0.000000
90	100	-0.009108	0.000000
100	110	-0.009361	0.000000
110	120	-0.009614	0.000000
120	130	-0.009867	0.000000
130	140	-0.010121	0.000000
140	150	-0.010375	0.000000
150	160	-0.010629	0.000000
160	170	-0.010884	0.000000
170	180	-0.011140	0.000000
180	190	-0.011395	0.000000
190	200	-0.011651	0.000000
200	210	-0.011907	0.000000
210	220	-0.012163	0.000000
220	230	-0.012420	0.000000
230	240	-0.012676	0.000000
240	250	-0.012933	0.000000
250	260	-0.013191	0.000000
260	270	-0.013448	0.000000
270	280	-0.013705	0.000000
280	290	-0.013963	0.000000
290	300	-0.014221	0.000000
300	310	-0.014479	0.000000
310	320	-0.014737	0.000000
320	330	-0.014995	0.000000
330	340	-0.015253	0.000000
340	350	-0.015512	0.000000
350	360	-0.015770	0.000000
360	370	-0.016029	0.000000
370	380	-0.016287	0.000000
380	390	-0.016546	0.000000
390	400	-0.016805	0.000000
400	410	-0.017063	0.000000
410	420	-0.017322	0.000000
420	430	-0.017581	0.000000
430	440	-0.017840	0.000000
440	450	-0.018099	0.000000
450	460	-0.018358	0.000000
460	470	-0.018617	0.000000
470	480	-0.018876	0.000000
480	490	-0.019135	0.000000
490	500	-0.019394	0.000000
500	510	-0.019653	0.000000
510	520	-0.019912	0.000000
520	530	-0.020171	0.000000
530	540	-0.020430	0.000000
540	550	-0.020689	0.000000
550	560	-0.020948	0.000000
560	570	-0.021207	0.000000
570	580	-0.021466	0.000000
580	590	-0.021724	0.000000
590	600	-0.021983	0.000000
600	610	-0.022242	0.000000
610	620	-0.022501	0.000000
620	630	-0.022760	0.000000
630	640	-0.023018	0.000000
640	650	-0.023277	0.000000
650	660	-0.023535	0.000000
660	670	-0.023794	0.000000
670	680	-0.024052	0.000000
680	690	-0.024311	0.000000
690	700	-0.024569	0.000000
700	710	-0.024828	0.000000
710	720	-0.025086	0.000000
720	730	-0.025344	0.000000
730	740	-0.025602	0.000000
740	750	-0.025860	0.000000
750	760	-0.026118	0.000000
760	770	-0.026376	0.000000
770	780	-0.026634	0.000000
