# Sample corrections file
#E_lo	E_hi	correction	error
0	10	0.000000	0.000000
10	20	0.000100	0.000033
20	30	0.000200	0.000067
30	40	0.000300	0.000100
40	50	0.000400	0.000133
50	60	0.000500	0.000167
60	70	0.000600	0.000200
70	80	0.000700	0.000233
80	90	0.000800	0.000267
90	100	0.000900	0.000300
100	110	0.001000	0.000333
110	120	0.001100	0.000367
120	130	0.001200	0.000400
130	140	0.001300	0.000433
140	150	0.001400	0.000467
150	160	0.001500	0.000500
160	170	0.001600	0.000533
170	180	0.001700	0.000567
180	190	0.001800	0.000600
190	200	0.001900	0.000633
200	210	0.002000	0.000667
210	220	0.002100	0.000700
220	230	0.002200	0.000733
230	240	0.002300	0.000767
240	250	0.002400	0.000800
250	260	0.002500	0.000833
260	270	0.002600	0.000867
270	280	0.002700	0.000900
280	290	0.002800	0.000933
290	300	0.002900	0.000967
300	310	0.003000	0.001000
310	320	0.003100	0.001033
320	330	0.003200	0.001067
330	340	0.003300	0.001100
340	350	0.003400	0.001133
350	360	0.003500	0.001167
360	370	0.003600	0.001200
370	380	0.003700	0.001233
380	390	0.003800	0.001267
390	400	0.003900	0.001300
400	410	0.004000	0.001333
410	420	0.004100	0.001367
420	430	0.004200	0.001400
430	440	0.004300	0.001433
440	450	0.004400	0.001467
450	460	0.004500	0.001500
460	470	0.004600	0.001533
470	480	0.004700	0.001567
480	490	0.004800	0.001600
490	500	0.004900	0.001633
500	510	0.005000	0.001667
510	520	0.005100	0.001700
520	530	0.005200	0.001733
530	540	0.005300	0.001767
540	550	0.005400	0.001800
550	560	0.005500	0.001833
560	570	0.005600	0.001867
570	580	0.005700	0.001900
580	590	0.005800	0.001933
590	600	0.005900	0.001967
600	610	0.006000	0.002000
610	620	0.006100	0.002033
620	630	0.006200	0.002067
630	640	0.006300	0.002100
640	650	0.006400	0.002133
650	660	0.006500	0.002167
660	670	0.006600	0.002200
670	680	0.006700	0.002233
680	690	0.006800	0.002267
690	700	0.006900	0.002300
700	710	0.007000	0.002333
710	720	0.007100	0.002367
720	730	0.007200	0.002400
730	740	0.007300	0.002433
740	750	0.007400	0.002467
750	760	0.007500	0.002500
760	770	0.007600	0.002533
770	780	0.007700	0.002567
780	790	0.007800	0.002600
790	800	0.007900	0.002633
800	810	0.008000	0.002667
810	820	0.008100	0.002700
820	830	0.008200	0.002733
830	840	0.008300	0.002767
840	850	0.008400	0.002800
850	860	0.008500	0.002833
860	870	0.008600	0.002867
870	880	0.008700	0.002900
880	890	0.008800	0.002933
890	900	0.008900	0.002967
900	910	0.009000	0.003000
910	920	0.009100	0.003033
920	930	0.009200	0.003067
930	940	0.009300	0.003100
940	950	0.009400	0.003133
950	960	0.009500	0.003167
960	970	0.009600	0.003200
970	980	0.009700	0.003233
980	990	0.009800	0.003267
990	1000	0.009900	0.003300
