#############
# Al27 neutron capture gammas
# from IAEA PGAA (http://www-nds.iaea.org/pgaa/pgaa7/index.html), Aug 3 2012
#
#	Energy	Cross Section
#          MeV        barns
      0.030638       0.0798
        0.3102       5.2e-6
      0.400589      0.00141
       0.45577     0.000774
       0.54869     0.000533
       0.57856         7e-5
        0.6479       5.5e-5
      0.831426      0.00269
       0.86322     0.000112
       0.86584      0.00087
       0.94175      0.00246
       0.94537      0.00047
       0.96848      0.00079
      0.982951      0.00902
       1.01359      0.00555
       1.07394        0.001
       1.10206      0.00103
       1.12529      0.00083
       1.17345      0.00066
       1.19348      0.00097
       1.22901      0.00016
       1.28369      0.00222
       1.30521      0.00043
       1.34232      0.00209
       1.36486      0.00066
       1.37296      0.00029
       1.40834       0.0064
        1.4374      0.00052
       1.52625      0.00339
       1.57024      0.00038
       1.58962      0.00247
       1.59224      0.00071
       1.62026      0.00016
       1.62288      0.00989
       1.64242      0.00068
        1.6734      0.00044
       1.70551       0.0008
       1.71897      0.00016
       1.86433      0.00091
       1.92753      0.00262
       1.96844      0.00017
       1.97414       4.9e-5
       1.98398      0.00207
       2.04777     0.000137
        2.1082      0.00549
       2.12873      0.00063
       2.13883      0.00424
        2.1707      0.00082
        2.2474       7.8e-5
       2.25537      0.00109
       2.27169      0.00396
       2.27795         8e-5
       2.28279       0.0089
       2.31254       6.9e-5
       2.34724      0.00034
        2.4192     0.000274
       2.45156      0.00106
       2.45541         7e-5
       2.48604      0.00026
       2.50266      0.00029
       2.53493      0.00024
       2.54808      0.00026
       2.55205      0.00014
       2.56335      0.00021
        2.5777      0.00412
       2.58185       9.8e-5
       2.59019      0.00807
       2.62586      0.00264
       2.69067       5.7e-5
       2.70962       0.0014
       2.72521       4.1e-5
       2.74348       8.8e-5
       2.82144      0.00752
       2.86201       7.4e-5
       2.87643      0.00014
       2.88074       5.3e-5
       2.88721      0.00038
       2.90321       2.2e-5
        2.9218      0.00053
       2.95447      0.00098
       2.97342       4.7e-5
       2.98765      0.00079
       3.01778      0.00012
       3.02023      0.00014
       3.02481         1e-4
        3.0339       0.0179
       3.06799      0.00019
       3.12846      0.00054
       3.22275       9.6e-5
        3.2306       5.3e-5
       3.25475       4.3e-5
       3.26306     0.000196
       3.26554      0.00082
       3.30315      0.00241
       3.31634       4.9e-5
       3.34697      0.00111
        3.3917      0.00117
       3.40927       4.5e-5
       3.44807       6.3e-5
       3.46506       0.0146
       3.48053      0.00018
       3.56055      0.00206
       3.59119         0.01
       3.59836      0.00024
       3.62387     0.000168
       3.63501         2e-5
       3.63989       0.0002
       3.65909      0.00017
        3.6783      0.00061
       3.70894      0.00088
       3.72159      0.00014
       3.75103       6.9e-5
       3.75463       8.4e-5
       3.76858       2.5e-5
       3.78933      0.00191
        3.8037       2.2e-5
       3.82169       6.5e-5
       3.82391      0.00114
       3.84911      0.00699
       3.85918         9e-5
       3.87549      0.00618
       3.88968      0.00047
       3.90069      0.00049
       3.90464       0.0004
        3.9268       4.5e-5
       3.93527      0.00063
       4.00149      0.00036
       4.01566      0.00166
       4.04469       4.5e-5
       4.05407      0.00037
       4.05964       5.9e-5
       4.06897      0.00049
       4.08519       1.6e-5
       4.10028       3.1e-5
       4.12092       7.8e-5
       4.13341       0.0149
       4.16212       3.7e-5
       4.16933      0.00028
       4.21343      0.00011
       4.21815       5.3e-5
       4.23751     0.000117
       4.25953       0.0153
       4.27016     0.000106
       4.28065      0.00037
       4.37762      0.00103
       4.39631     0.000114
        4.4242      0.00067
       4.42841      0.00185
       4.46153       8.2e-5
       4.48451     0.000139
       4.51189     0.000164
       4.56548       5.3e-5
       4.57555      0.00071
       4.59612      0.00028
       4.61291       3.1e-5
       4.62154     0.000372
       4.66004      0.00605
       4.69068       0.0109
       4.73384       0.0126
       4.73692        0.001
       4.75438       0.0008
       4.76448       0.0021
       4.78353       2.2e-5
       4.90311      0.00716
       4.98429      0.00024
       5.00552       9.4e-5
       5.01492       5.9e-6
        5.0686      0.00037
       5.10371      0.00097
       5.12997     0.000209
       5.13434      0.00722
       5.14269       2.9e-5
       5.17645      0.00017
       5.18476       5.9e-5
       5.23848      0.00054
       5.27768      4.11e-5
       5.30264      0.00124
       5.34384      3.33e-5
       5.37727      0.00018
       5.41108      0.00481
       5.42727      0.00017
       5.44171       2.9e-5
       5.44695       6.9e-5
       5.45281      0.00046
       5.52315      0.00017
       5.58565      0.00279
       5.70985      0.00148
        5.7663      0.00091
       5.79693       0.0003
       5.80283       6.9e-5
       5.82949      2.54e-5
       5.86012      0.00038
       5.87946       5.1e-5
       5.98828       4.5e-5
       6.01891     0.000366
       6.10153       0.0057
       6.16214       2.5e-5
       6.19814       0.0021
       6.25503      2.74e-5
       6.31602        0.005
        6.3514      0.00032
       6.41913      0.00021
       6.44065      0.00147
       6.59162      0.00043
       6.61973      0.00093
       6.62225      0.00037
        6.7107       0.0022
       6.72517      0.00027
        6.7519     0.000114
       6.86219      0.00036
       7.17549      0.00026
       7.23775      0.00017
       7.26838       7.4e-5
        7.6934       0.0081
       7.72403       0.0493
	   
