#bin_lo	bin_up	correction	uncertainty
0	25	0.000000	0.000000
25	50	0.000000	0.000000
50	75	0.000000	0.000000
75	100	0.000000	0.000000
100	125	0.000000	0.000000
125	150	0.000000	0.000000
150	175	0.000000	0.000000
175	200	0.000000	0.000000
200	225	0.000000	0.000000
225	250	0.000000	0.000000
250	275	0.000000	0.000000
275	300	0.000000	0.000000
300	325	0.000000	0.000000
325	350	0.000000	0.000000
350	375	0.000000	0.000000
375	400	0.000000	0.000000
400	425	0.000000	0.000000
425	450	0.000000	0.000000
450	475	0.000000	0.000000
475	500	0.000000	0.000000
500	525	0.000000	0.000000
525	550	0.000000	0.000000
550	575	0.000000	0.000000
575	600	0.000000	0.000000
600	625	0.000000	0.000000
625	650	0.000000	0.000000
650	675	0.000000	0.000000
675	700	0.000000	0.000000
700	725	0.000000	0.000000
725	750	0.000000	0.000000
750	775	0.000000	0.000000
775	800	0.000000	0.000000
