#bin_lo	bin_up	correction	uncertainty
0	25	0.000000	0.091555
25	50	0.000000	0.029322
50	75	0.000000	0.016547
75	100	0.000000	0.011104
100	125	0.000000	0.008121
125	150	0.000000	0.006258
150	175	0.000000	0.004995
175	200	0.000000	0.004091
200	225	0.000000	0.003628
225	250	0.000000	0.003436
250	275	0.000000	0.003259
275	300	0.000000	0.003096
300	325	0.000000	0.002945
325	350	0.000000	0.002805
350	375	0.000000	0.002675
375	400	0.000000	0.002553
400	425	0.000000	0.002440
425	450	0.000000	0.002335
450	475	0.000000	0.002236
475	500	0.000000	0.002144
500	525	0.000000	0.002007
525	550	0.000000	0.001839
550	575	0.000000	0.001690
575	600	0.000000	0.001557
600	625	0.000000	0.001438
625	650	0.000000	0.001331
650	675	0.000000	0.001236
675	700	0.000000	0.001149
700	725	0.000000	0.001071
725	750	0.000000	0.000999
750	775	0.000000	0.000934
775	800	0.000000	0.000875
