20121 2478.32 3.09047  2422.6 4.9148  2298.56 4.8261  2023.18 3.78031  2388.94 4.12839  2465.82 4.02267  2268.34 3.02236  728.935 7.63635 
20122 2477.57555556 1.30587879036  2424.72444444 1.97157709233  2299.1 2.22668512137  2115.42333333 1.92576485058  2385.97 1.71510807375  2464.75111111 1.84481139877  2274.95555556 1.37152906539  716.759444444 6.42455826766 
20123 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20124 2479.4 2.93671  2428.05 4.13111  2293.14 5.18883  2129.54 4.81728  2387.01 3.91503  2461.46 3.90229  2275.58 3.34124  724.651 9.14655 
20125 2479.47222222 1.31239933145  2418.87111111 1.81726570105  2298.30777778 2.60627984437  2129.20888889 1.91815736564  2393.36222222 1.87686053805  2454.17333333 1.76639038935  2278.19333333 1.35967830015  736.051222222 5.5012901617 
20126 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20127 2476.70111111 1.31132192394  2420.75666667 1.91192762684  2296.42777778 2.44922000006  2100.81666667 1.81796310465  2400.35555556 1.73866706605  2449.74333333 1.76247680422  2284.50777778 1.4424175028  734.337222222 3.97016618522 
20128 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20129 2481.68 3.21122  2419.37 4.09298  2305.81 4.93121  2051.67 4.41309  2390.65 4.13626  2448.77 4.21013  2288.82 3.22391  725.256 9.76482 
20130 2475.33888889 1.30024425498  2410.42333333 1.76137701331  2301.10333333 2.27061140161  2061.95222222 1.68552225486  2399.74 1.86348768597  2454.52333333 1.75768339129  2284.92666667 1.35763144588  791.251111111 95.5532516064 
20131 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20132 2479.16 2.80187  2413.24 3.97186  2303.84 6.62947  2114.31 4.05667  2403.01 4.07802  2451.8 4.66776  2287.54 3.22526  713.641 8.85326 
20133 2478.86 3.10078  2417.97 3.99616  2297.71 5.04057  2115.62 3.83532  2392.74 3.94614  2451.53 4.39339  2288.54 3.05061  714.703 9.81383 
20134 2477.74444444 1.32735771674  2412.35777778 1.81038651585  2306.98222222 2.57928138555  2120.88666667 1.80321525598  2389.29333333 1.81924243858  2452.41888889 1.84448930129  2294.38888889 1.35508487587  836.867888889 24.6693214704 
20135 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20136 2480.29 3.14562  2403.38 4.90927  2299.69 4.71256  2113.65 4.08977  2384.87 3.94182  2461.44 4.19188  2291.22 4.12559  746.381 9.45481 
20137 2474.95555556 1.263437248  2412.74444444 1.72412871657  2303.60666667 2.27183777637  2124.76777778 1.83322865168  2392.26444444 1.79803244482  2448.53555556 1.82869788618  2286.48111111 1.3707587634  777.834555556 315.167691539 
20138 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20139 2479.11222222 1.23446494237  2408.28888889 1.69702230674  2298.62777778 2.4368403323  2118.23333333 1.72307245794  2384.51111111 1.73940877686  2450.02777778 1.76979031787  2288.29111111 1.35846645039  732.355777778 3.96720199783 
20140 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20141 2469.9 3.6838  2408.72 4.4966  2308.59 4.13637  2129.66 3.8356  2385.25 4.16748  2446.92 4.15812  2287.85 3.33694  723.817 8.44772 
20142 2479.11111111 1.22975050347  2412.29666667 1.77782814916  2306.73 2.28733867971  2123.72888889 1.81901422797  2386.19444444 1.72129435596  2451.94222222 1.79314655167  2291.77555556 1.37697109152  336.543444444 1022.01001768 
20143 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20144 2482.18 3.05822  2409.84 3.99978  2313.59 5.21066  2117.82 4.15408  2388.84 3.99808  2457.51 4.13923  2300.15 3.42326  726.551 9.10223 
20146 2484.82 2.98763  2423.22 3.99491  2311.1 5.09936  2143.87 3.89251  2392.11 3.85812  2462.92 4.11813  2299.85 3.42937  741.82 9.0718 
20147 2492.90333333 1.30366196074  2430.26222222 1.8495464208  2315.19888889 2.27676723307  2146.42111111 1.78459740897  2398.84555556 1.83920034641  2466.28333333 1.90454036743  2313.29888889 1.37717996603  321.264333333 272.137088943 
20148 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20149 2494.55 2.86931  2431.72 4.53734  2320.52 5.00617  2124.39 4.10075  2401.88 4.0772  2485.43 4.15256  2320.06 3.32995  718.998 8.22421 
20150 2496.59888889 1.28963568724  2434.74333333 1.89036911292  2315.57888889 2.30431665963  2136.50111111 1.89877111502  2398.76 1.77378102538  2497.99333333 1.81476433332  2315.93555556 1.3374004676  719.857444444 4.60731500196 
20151 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20152 2495.14222222 1.40613831535  2432.77111111 1.81632091037  2324.74111111 2.40594036618  2095.00222222 1.74716606229  2408.95777778 1.83695436552  2493.50555556 1.84494836503  2315.58 1.40300939772  725.770444444 3.69833417051 
20153 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20154 2499.97 2.89677  2435.79 4.14553  2320.8 5.29644  2044.55 3.70522  2410.85 4.05341  2493.27 3.86009  2316.42 3.34049  746.606 8.22329 
20155 2498.64333333 1.2804663745  2438.55444444 1.81223454133  2324.56111111 2.4449394058  2090.90666667 1.81070702085  2409.31222222 1.83818870214  2494.62444444 1.95463598795  2322.81111111 1.38107617702  651.521111111 3.75174253377 
20156 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20157 2515.31 2.99338  2445.53 4.31316  2322.92 5.31857  2100.62 4.26872  2419.08 4.14991  2489.64 3.96111  2330.1 3.3522  734.071 9.85386 
20158 2513.18 3.16945  2442.14 4.41932  2329.3 6.24119  2085.63 4.02208  2415.32 4.08079  2504.86 4.2249  2328.51 3.96948  741.94 7.61707 
20159 2514.36222222 1.26517915563  2448.11222222 1.93139022161  2334.86444444 2.75017685814  2171.05111111 1.95224457607  2413.79111111 1.7529410693  2503.91777778 1.93348517281  2329.47666667 1.38050751104  714.552777778 6.82856939303 
20160 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20161 2513.43 2.91738  2450.21 4.15242  2323.15 5.24395  2159.66 4.17017  2417.77 5.16848  2514.46 4.44348  2328.98 3.51928  747.129 9.59572 
20162 2516.35 1.25661283339  2445.99777778 2.03266711628  2332.53333333 2.42557105042  2142.91555556 1.78448033917  2416.3 1.82108893873  2514.69888889 1.97166432112  2329.49111111 1.52997889478  730.506111111 3.528674397 
